id,visitors
air_00a91d42b08b08d9_2017-04-23,0.013183759851010451
air_00a91d42b08b08d9_2017-04-24,27.42788360868767
air_00a91d42b08b08d9_2017-04-25,32.10467273509978
air_00a91d42b08b08d9_2017-04-26,30.964732405841968
air_00a91d42b08b08d9_2017-04-27,37.49517653846487
air_00a91d42b08b08d9_2017-04-28,37.13362908784066
air_00a91d42b08b08d9_2017-04-29,6.780410071803823
air_00a91d42b08b08d9_2017-04-30,0.03669315380646563
air_00a91d42b08b08d9_2017-05-01,19.233187288151086
air_00a91d42b08b08d9_2017-05-02,23.328906959914658
air_00a91d42b08b08d9_2017-05-03,5.452061099012345
air_00a91d42b08b08d9_2017-05-04,2.2996726519735287
air_00a91d42b08b08d9_2017-05-05,3.2425759495512207
air_00a91d42b08b08d9_2017-05-06,7.408100828553075
air_00a91d42b08b08d9_2017-05-07,0.0006025039631497362
air_00a91d42b08b08d9_2017-05-08,23.83098182663927
air_00a91d42b08b08d9_2017-05-09,28.803146669223125
air_00a91d42b08b08d9_2017-05-10,27.22225678350926
air_00a91d42b08b08d9_2017-05-11,30.1534330961172
air_00a91d42b08b08d9_2017-05-12,33.488706473073016
air_00a91d42b08b08d9_2017-05-13,6.480907690901194
air_00a91d42b08b08d9_2017-05-14,0.008384435293783705
air_00a91d42b08b08d9_2017-05-15,24.176474111808105
air_00a91d42b08b08d9_2017-05-16,31.37153879360983
air_00a91d42b08b08d9_2017-05-17,30.120574799030102
air_00a91d42b08b08d9_2017-05-18,36.52343335729592
air_00a91d42b08b08d9_2017-05-19,34.87653607565003
air_00a91d42b08b08d9_2017-05-20,6.862012835943355
air_00a91d42b08b08d9_2017-05-21,0.03203521727977123
air_00a91d42b08b08d9_2017-05-22,25.089631312018515
air_00a91d42b08b08d9_2017-05-23,31.34612726753459
air_00a91d42b08b08d9_2017-05-24,29.218940765441886
air_00a91d42b08b08d9_2017-05-25,36.06552473641496
air_00a91d42b08b08d9_2017-05-26,35.97411054575913
air_00a91d42b08b08d9_2017-05-27,7.2644143711616325
air_00a91d42b08b08d9_2017-05-28,0.01955178732969742
air_00a91d42b08b08d9_2017-05-29,27.561960238900003
air_00a91d42b08b08d9_2017-05-30,33.13345847568916
air_00a91d42b08b08d9_2017-05-31,32.22512992757818
